station_id,station_name,station_code,lat,lon
261,San Juan de Aragón,SJA,19.452777777778,-99.086111111111
400,Santa Ursula,SUR,19.314444444444,-99.150055555556
334,Tacuba,TAC,19.454846388889,-99.202814722222
265,Tlahuac,TAH,19.246666666667,-99.010833333333
335,Taxqueña ,TAX,19.337456666667,-99.122986666667
266,Tlalnepantla,TLA,19.529166666667,-99.204722222222
267,Tultitlán,TLI,19.602777777778,-99.177222222222
336,Tlalpan,TPN,19.256858333333,-99.183862222222
269,UAM Xochimilco,UAX,19.304444444444,-99.103888888889
268,UAM Iztapalapa,UIZ,19.360833333333,-99.073888888889
401,Vallejo,VAL,19.524139444444,-99.165998611111
270,Villa de las Flores,VIF,19.6575,-99.096666666667
271,Xalostoc,XAL,19.526111111111,-99.0825
338,Xochimilco,XCH,,
355,Presidencia Municipal,VILL,20.516944444444,-100.99722222222
235,STPS,STP,19.530094444444,-96.881880555556
97,Delegación Municipal,DEL,19.969444444444,-98.861666666667
98,Escuela Primaria,PRIM,20.779722222222,-98.678611111111
99,Oficina de Correos,XCT,20.776611111111,-98.679861111111
294,Cd. Administrativa,CDA,22.776361944444,-102.61734111111
239,IMSS Zac,IMSS,22.775258333333,-102.56666666667
295,Col. Minera,MIN,22.770455,-102.58512555556
238,ZigZag,ZZZ,22.762161111111,-102.57890555556
135,Tecnológico de Zacatepec,TEC,18.654444444444,-99.183333333333
308,Palacio Municipal,ZAP,19.969444444444,-98.861666666667
